timestamp,bus_id,route_id,seq,lon,lat,accuracy_m,gps_speed_mps,heading_deg,quality_label,true_lon,true_lat,true_distance_along_route_m,true_bearing_deg
2026-06-24T08:00:00+09:00,test_bus_001,school_to_asan_station_test,1,127.07092773,36.80023017,5.0,0.0,244.72,normal,127.07089877,36.80025959,0.12,248.64
2026-06-24T08:00:03+09:00,test_bus_001,school_to_asan_station_test,2,127.07090106,36.80017504,5.0,2.188,140.18,normal,127.07086812,36.8001525,18.74,140.33
2026-06-24T08:00:06+09:00,test_bus_001,school_to_asan_station_test,3,127.0710162,36.8000755,5.0,5.029,125.65,normal,127.07101209,36.80002937,37.54,129.79
2026-06-24T08:00:09+09:00,test_bus_001,school_to_asan_station_test,4,127.07119901,36.79991158,5.0,8.145,133.19,normal,127.07117431,36.79991847,56.56,134.71
2026-06-24T08:00:12+09:00,test_bus_001,school_to_asan_station_test,5,127.07137656,36.79983608,5.0,5.974,135.49,normal,127.07132806,36.79980553,75.16,129.79
2026-06-24T08:00:15+09:00,test_bus_001,school_to_asan_station_test,6,127.07154931,36.79970261,5.0,7.126,134.57,normal,127.07149082,36.7997009,93.75,129.79
2026-06-24T08:00:18+09:00,test_bus_001,school_to_asan_station_test,7,127.07164319,36.79960528,5.0,4.556,128.88,normal,127.07165739,36.79959382,112.78,129.79
2026-06-24T08:00:21+09:00,test_bus_001,school_to_asan_station_test,8,127.07180387,36.79949146,5.0,6.37,136.62,normal,127.07180006,36.79946994,131.62,142.35
2026-06-24T08:00:24+09:00,test_bus_001,school_to_asan_station_test,9,127.07193688,36.79928627,5.0,8.559,174.6,normal,127.0718422,36.799321,150.16,183.1
2026-06-24T08:00:27+09:00,test_bus_001,school_to_asan_station_test,10,127.07189261,36.79918127,5.0,4.101,185.11,normal,127.07184142,36.7991519,168.94,180.74
2026-06-24T08:00:30+09:00,test_bus_001,school_to_asan_station_test,11,127.0718711,36.79898484,5.0,7.294,174.46,normal,127.07184293,36.79898483,187.48,180.74
2026-06-24T08:00:33+09:00,test_bus_001,school_to_asan_station_test,12,127.07184844,36.79879342,5.0,7.113,187.57,normal,127.07184443,36.79881776,206.02,180.74
2026-06-24T08:00:36+09:00,test_bus_001,school_to_asan_station_test,13,127.07184011,36.79861931,5.0,6.445,178.49,normal,127.07184595,36.79864917,224.73,180.74
2026-06-24T08:00:39+09:00,test_bus_001,school_to_asan_station_test,14,127.07186644,36.79846522,5.0,5.753,174.98,normal,127.07184743,36.79848524,242.92,180.74
2026-06-24T08:00:42+09:00,test_bus_001,school_to_asan_station_test,15,127.07185961,36.7983299,5.0,5.01,177.19,normal,127.07184891,36.7983209,261.16,180.74
